"","DEPARTMENT","WORK.GROUP","CREATION.YEAR","CREATION.MONTH","Number.Of.Cases","Number.Of.Open.Cases","Number.Of.Cases.Exceeding.Timeframe","Percent.Of.Cases.Exceeding.Timeframe","UniqueID","Mean.Days.To.Close.Of.Closed.Cases","Median.Days.To.Close.Closed.Cases","Standard.Deviation","Above.One.Standard.Deviation","Above.Two.Standard.Deviations","Above.Three.Standard.Deviations","Below.One.Standard.Deviation","Below.Two.Standard.Deviations","Below.Three.Standard.Deviations","Month.Year","Date.End.Month"
"1629","Health","Health-Noise Control-",2015,9,55,0,2,3.63636363636364,"Health Health-Noise Control- 2015 9",3.07272727272727,3,2.19304072224562,5.2657679949729,7.45880871721852,9.65184943946415,0.879686550481649,-1.31335417176398,-3.5063948940096,"2015.9","2015/09/30"
"1630","Health","Health-Noise Control-",2015,10,40,0,12,30,"Health Health-Noise Control- 2015 10",6.85,3,9.07673837274048,15.9267383727405,25.003476745481,34.0802151182214,-2.22673837274048,-11.303476745481,-20.3802151182214,"2015.10","2015/10/31"
"1631","Health","Health-Noise Control-",2015,11,27,0,10,37.037037037037,"Health Health-Noise Control- 2015 11",8.11111111111111,8,5.76683711027199,13.8779482213831,19.6447853316551,25.4116224419271,2.34427400083912,-3.42256310943288,-9.18940021970488,"2015.11","2015/11/30"
"1632","Health","Health-Noise Control-",2015,12,16,9,0,0,"Health Health-Noise Control- 2015 12",NA,NA,2.76887462097269,NA,NA,NA,NA,NA,NA,"2015.12","2015/12/31"
"1633","Health","Health-Rat-",2007,1,9,0,2,22.2222222222222,"Health Health-Rat- 2007 1",3.22222222222222,1,4.57651007258199,7.79873229480422,12.3752423673862,16.9517524399682,-1.35428785035977,-5.93079792294177,-10.5073079955238,"2007.1","2007/01/31"
"1634","Health","Health-Rat-",2007,2,21,0,2,9.52380952380952,"Health Health-Rat- 2007 2",1.66666666666667,0,4.48701831212369,6.15368497879036,10.640703290914,15.1277216030377,-2.82035164545702,-7.30736995758071,-11.7943882697044,"2007.2","2007/02/28"
"1635","Health","Health-Rat-",2007,3,35,0,2,5.71428571428571,"Health Health-Rat- 2007 3",0.714285714285714,0,1.88759773524023,2.60188344952594,4.48948118476617,6.37707892000639,-1.17331202095451,-3.06090975619474,-4.94850749143497,"2007.3","2007/03/31"
"1636","Health","Health-Rat-",2007,4,35,0,0,0,"Health Health-Rat- 2007 4",1.34285714285714,0,2.40028009570032,3.74313723855746,6.14341733425778,8.5436974299581,-1.05742295284318,-3.4577030485435,-5.85798314424382,"2007.4","2007/04/30"
"1637","Health","Health-Rat-",2007,5,24,0,1,4.16666666666667,"Health Health-Rat- 2007 5",1.25,0,2.15184450707032,3.40184450707032,5.55368901414063,7.70553352121095,-0.901844507070317,-3.05368901414063,-5.20553352121095,"2007.5","2007/05/31"
"1638","Health","Health-Rat-",2007,6,45,0,3,6.66666666666667,"Health Health-Rat- 2007 6",2.17777777777778,1,2.8387648473563,5.01654262513408,7.85530747249039,10.6940723198467,-0.660987069578527,-3.49975191693483,-6.33851676429114,"2007.6","2007/06/30"
